Pagina;Codigo (PDF Consulta);Codigo (OCR Boletos);Status Codigo;Valor (PDF Consulta);Valor (OCR Boletos);Status Valor;Status Geral
1;93920;93920;OK;82,30;82,30;OK;OK
2;37330;37330;OK;82,30;82,30;OK;OK
3;115450;115450;OK;82,30;82,30;OK;OK
4;119380;119380;OK;82,30;82,30;OK;OK
5;119390;119390;OK;79,13;79,13;OK;OK
6;67170;67170;OK;82,30;82,30;OK;OK
7;30200;30200;OK;64,72;64,72;OK;OK
8;62730;62730;OK;82,30;82,30;OK;OK
9;33730;33730;OK;76,82;76,82;OK;OK
10;45590;45590;OK;82,30;82,30;OK;OK
11;23990;23990;OK;54,87;54,87;OK;OK
12;92660;92660;OK;54,87;54,87;OK;OK
13;37180;37180;OK;54,87;54,87;OK;OK
14;27470;27470;OK;82,30;82,30;OK;OK
15;31360;31360;OK;82,30;82,30;OK;OK
16;88610;88610;OK;82,30;82,30;OK;OK
17;41570;41570;OK;82,30;82,30;OK;OK
18;61230;61230;OK;87,79;87,79;OK;OK
19;61240;61240;OK;84,61;84,61;OK;OK
20;60700;60700;OK;79,13;79,13;OK;OK
21;135680;135680;OK;76,82;76,82;OK;OK
22;43170;43170;OK;82,30;82,30;OK;OK
23;84070;84070;OK;76,82;76,82;OK;OK
24;99080;99080;OK;82,30;82,30;OK;OK
25;28830;28830;OK;79,13;79,13;OK;OK
26;37170;37170;OK;55,05;55,05;OK;OK
27;25010;25010;OK;82,30;82,30;OK;OK
28;87700;87700;OK;82,30;82,30;OK;OK
29;93090;93090;OK;82,30;82,30;OK;OK
30;98360;98360;OK;75,45;75,45;OK;OK
31;132530;132530;OK;76,82;76,82;OK;OK
32;78820;78820;OK;82,30;82,30;OK;OK
33;98560;98560;OK;82,30;82,30;OK;OK
34;86250;86250;OK;76,82;76,82;OK;OK
35;46470;46470;OK;92,47;92,47;OK;OK
36;114590;114590;OK;76,82;76,82;OK;OK
37;63130;63130;OK;108,98;108,98;OK;OK
38;133170;133170;OK;73,64;73,64;OK;OK
39;78810;78810;OK;82,30;82,30;OK;OK
40;28580;28580;OK;82,30;82,30;OK;OK
41;101820;101820;OK;82,30;82,30;OK;OK
42;42490;42490;OK;75,45;75,45;OK;OK
43;28360;28360;OK;82,30;82,30;OK;OK
44;90030;90030;OK;114,84;114,84;OK;OK
45;25390;25390;OK;54,87;54,87;OK;OK
46;25400;25400;OK;54,87;54,87;OK;OK
47;26790;26790;OK;82,30;82,30;OK;OK
48;116550;116550;OK;82,30;82,30;OK;OK
49;39190;39190;OK;79,13;79,13;OK;OK
50;32140;32140;OK;82,30;82,30;OK;OK
51;78060;78060;OK;82,30;82,30;OK;OK
52;134470;134470;OK;76,82;76,82;OK;OK
53;20770;20770;OK;72,27;72,27;OK;OK
54;70530;70530;OK;82,30;82,30;OK;OK
55;70540;70540;OK;82,30;82,30;OK;OK
56;30220;30220;OK;75,45;75,45;OK;OK
57;91900;91900;OK;72,70;72,70;OK;OK
58;104670;104670;OK;79,13;79,13;OK;OK
59;102740;102740;OK;82,30;82,30;OK;OK
60;108300;108300;OK;82,30;82,30;OK;OK
61;22800;22800;OK;82,30;82,30;OK;OK
62;22970;22970;OK;82,30;82,30;OK;OK
63;132710;132710;OK;82,30;82,30;OK;OK
64;34200;34200;OK;82,30;82,30;OK;OK
65;129690;129690;OK;76,82;76,82;OK;OK
66;88800;88800;OK;79,13;79,13;OK;OK
67;79210;79210;OK;82,30;82,30;OK;OK
68;33560;33560;OK;82,30;82,30;OK;OK
69;134280;134280;OK;76,82;76,82;OK;OK
70;77000;77000;OK;78,30;78,30;OK;OK
71;32030;32030;OK;100,08;100,08;OK;OK
72;73050;73050;OK;100,77;100,77;OK;OK
73;87070;87070;OK;135,35;135,35;OK;OK
74;87110;87110;OK;76,82;76,82;OK;OK
75;55360;55360;OK;57,18;57,18;OK;OK
76;62430;62430;OK;82,30;82,30;OK;OK
77;52960;52960;OK;82,30;82,30;OK;OK
78;21610;21610;OK;82,30;82,30;OK;OK
79;30430;30430;OK;75,45;75,45;OK;OK
80;124190;124190;OK;82,30;82,30;OK;OK
81;104710;104710;OK;82,30;82,30;OK;OK
82;127650;127650;OK;63,03;63,03;OK;OK
83;57210;57210;OK;82,30;82,30;OK;OK
84;95120;95120;OK;82,30;82,30;OK;OK
85;100650;100650;OK;75,45;75,45;OK;OK
86;101270;101270;OK;81,87;81,87;OK;OK
87;93050;93050;OK;61,73;61,73;OK;OK
88;30280;30280;OK;75,45;75,45;OK;OK
89;129800;129800;OK;65,84;65,84;OK;OK
90;63790;63790;OK;82,30;82,30;OK;OK
91;69530;69530;OK;77,73;77,73;OK;OK
92;48030;48030;OK;82,30;82,30;OK;OK
93;82870;82870;OK;82,30;82,30;OK;OK
94;34280;34280;OK;76,82;76,82;OK;OK
95;103170;103170;OK;90,54;90,54;OK;OK
96;135150;135150;OK;76,82;76,82;OK;OK
97;107750;107750;OK;82,30;82,30;OK;OK
98;24430;24430;OK;82,30;82,30;OK;OK
99;133030;133030;OK;82,30;82,30;OK;OK
100;37430;37430;OK;82,30;82,30;OK;OK
101;33480;33480;OK;82,30;82,30;OK;OK
102;76010;76010;OK;82,30;82,30;OK;OK
103;81450;81450;OK;76,82;76,82;OK;OK
104;88080;88080;OK;74,99;74,99;OK;OK
105;135660;135660;OK;82,30;82,30;OK;OK
106;23060;23060;OK;82,30;82,30;OK;OK
107;35800;35800;OK;82,30;82,30;OK;OK
108;100470;100470;OK;76,82;76,82;OK;OK
109;135670;135670;OK;82,30;82,30;OK;OK
110;89990;89990;OK;76,82;76,82;OK;OK
111;117490;117490;OK;76,82;76,82;OK;OK
112;66380;66380;OK;79,13;79,13;OK;OK
113;119240;119240;OK;82,30;82,30;OK;OK
114;80700;80700;OK;82,30;82,30;OK;OK
115;31490;31490;OK;82,30;82,30;OK;OK
116;110040;110040;OK;54,87;54,87;OK;OK
117;110050;110050;OK;54,87;54,87;OK;OK
118;62020;62020;OK;82,30;82,30;OK;OK
119;65210;65210;OK;76,82;76,82;OK;OK
120;87940;87940;OK;82,30;82,30;OK;OK
121;118940;118940;OK;76,82;76,82;OK;OK
122;136240;136240;OK;86,02;86,02;OK;OK
123;63750;63750;OK;82,30;82,30;OK;OK
124;125970;125970;OK;82,30;82,30;OK;OK
125;85460;85460;OK;76,82;76,82;OK;OK
126;76790;76790;OK;82,30;82,30;OK;OK
127;125160;125160;OK;73,64;73,64;OK;OK
128;106390;106390;OK;79,13;79,13;OK;OK
129;97890;97690;OK;76,82;76,82;OK;OK
130;82690;82690;OK;120,37;120,37;OK;OK
131;48750;48750;OK;80,93;80,93;OK;OK
132;49210;49210;OK;82,30;82,30;OK;OK
133;58400;58400;OK;82,30;82,30;OK;OK
134;39310;39310;OK;82,30;82,30;OK;OK
135;116540;116540;OK;82,30;82,30;OK;OK
136;128820;128820;OK;123,17;123,17;OK;OK
137;39850;39850;OK;160,71;160,71;OK;OK
138;119450;119450;OK;159,03;159,03;OK;OK
139;23220;23220;OK;82,30;82,30;OK;OK
140;98470;98470;OK;93,83;93,83;OK;OK
141;65390;65390;OK;74,54;74,54;OK;OK
142;91560;91560;OK;75,45;75,45;OK;OK
143;71260;71260;OK;69,15;69,15;OK;OK
144;110980;110980;OK;82,30;82,30;OK;OK
145;100750;100750;OK;72,27;72,27;OK;OK
146;46450;46450;OK;83,95;83,95;OK;OK
147;78640;78640;OK;98,43;98,43;OK;OK
148;67830;67630;OK;82,30;82,30;OK;OK
149;52150;52150;OK;82,30;82,30;OK;OK
150;35040;35040;OK;82,30;82,30;OK;OK
151;114100;114100;OK;85,05;85,05;OK;OK
152;74370;74370;OK;76,82;76,82;OK;OK
153;38540;38540;OK;76,82;76,82;OK;OK
154;84120;84120;OK;73,64;73,64;OK;OK
155;61890;61890;OK;82,30;82,30;OK;OK
156;81430;81430;OK;76,82;76,82;OK;OK
157;42010;42010;OK;75,45;75,45;OK;OK
158;116490;116490;OK;82,30;82,30;OK;OK
159;126960;126960;OK;76,82;76,82;OK;OK
160;29070;29070;OK;82,30;82,30;OK;OK
161;48330;48330;OK;80,84;80,84;OK;OK
162;66020;66020;OK;82,30;82,30;OK;OK
163;49290;49290;OK;79,13;79,13;OK;OK
164;88340;88340;OK;76,82;76,82;OK;OK
165;53070;53070;OK;82,30;82,30;OK;OK
166;121680;121680;OK;76,82;76,82;OK;OK
167;85210;85210;OK;86,42;86,42;OK;OK
168;77200;77200;OK;54,87;54,87;OK;OK
169;132060;132060;OK;54,87;54,87;OK;OK
170;88280;88280;OK;76,82;76,82;OK;OK
171;30920;30920;OK;75,45;75,45;OK;OK
172;50650;50650;OK;76,82;76,82;OK;OK
173;107870;107870;OK;82,30;82,30;OK;OK
174;62640;62640;OK;82,30;82,30;OK;OK
175;27610;27610;OK;82,30;82,30;OK;OK
176;33540;33540;OK;76,82;76,82;OK;OK
177;95100;95100;OK;82,30;82,30;OK;OK
178;102960;102960;OK;79,13;79,13;OK;OK
179;118760;118760;OK;82,30;82,30;OK;OK
180;136070;136070;OK;76,82;76,82;OK;OK
181;94130;94130;OK;82,30;82,30;OK;OK
182;128660;128660;OK;109,45;109,45;OK;OK
183;33380;33360;OK;82,30;82,30;OK;OK
184;36310;36310;OK;95,50;95,50;OK;OK
185;102640;102640;OK;82,30;82,30;OK;OK
186;115960;115960;OK;82,30;82,30;OK;OK
187;92400;92400;OK;82,30;82,30;OK;OK
188;119500;119500;OK;112,48;112,48;OK;OK
189;66200;66200;OK;75,47;75,47;OK;OK
190;118980;118980;OK;78,65;78,65;OK;OK
191;66210;66210;OK;78,65;78,65;OK;OK
192;49090;49090;OK;82,30;82,30;OK;OK
193;61950;61950;OK;82,30;82,30;OK;OK
194;67020;67020;OK;82,30;82,30;OK;OK
195;67310;67310;OK;81,24;81,24;OK;OK
196;106070;106070;OK;79,13;79,13;OK;OK
197;48360;48360;OK;80,84;80,84;OK;OK
198;56750;56750;OK;79,13;79,13;OK;OK
199;57990;57990;OK;82,30;82,30;OK;OK
200;73920;73920;OK;76,82;76,82;OK;OK
201;50500;50500;OK;76,82;76,82;OK;OK
202;42390;42390;OK;74,78;74,78;OK;OK
203;32640;32640;OK;83,22;83,22;OK;OK
204;32650;32650;OK;83,22;83,22;OK;OK
205;94840;94840;OK;82,30;82,30;OK;OK
206;95080;95080;OK;82,30;82,30;OK;OK
207;103530;103530;OK;76,82;76,82;OK;OK
208;48940;48940;OK;82,30;82,30;OK;OK
